word,root,suffixes
kitob,kitob,
kitoblar,kitob,lar
kitoblari,kitob,lari
kitobmiz,kitob,miz
kitobimiz,kitob,imiz
kitobingiz,kitob,ingiz
kitobim,kitob,im
kitobing,kitob,ing
kitobi,kitob,i
kitobni,kitob,ni
kitobga,kitob,ga
kitobda,kitob,da
kitobdan,kitob,dan
kitobning,kitob,ning
kitobman,kitob,man
kitobsan,kitob,san
kitobsiz,kitob,siz
kitobdi,kitob,di
kitobdim,kitob,dim
kitobding,kitob,ding
kitobdik,kitob,dik
kitobgan,kitob,gan
kitobgach,kitob,gach
kitobgi,kitob,gi
kitoblarlari,kitob,lar lari
kitoblarmiz,kitob,lar miz
kitoblarimiz,kitob,lar imiz
kitoblaringiz,kitob,lar ingiz
kitoblarim,kitob,lar im
kitoblaring,kitob,lar ing
kitoblari,kitob,lar i
kitoblarni,kitob,lar ni
kitoblarga,kitob,lar ga
kitoblarda,kitob,lar da
kitoblardan,kitob,lar dan
kitoblarning,kitob,lar ning
kitoblarman,kitob,lar man
kitoblarsan,kitob,lar san
kitoblarsiz,kitob,lar siz
kitoblardi,kitob,lar di
kitoblardim,kitob,lar dim
kitoblarding,kitob,lar ding
kitoblardik,kitob,lar dik
kitoblargan,kitob,lar gan
kitoblargach,kitob,lar gach
kitoblargi,kitob,lar gi
kitoblarilar,kitob,lari lar
kitoblarimiz,kitob,lari miz
kitoblariimiz,kitob,lari imiz
kitoblariingiz,kitob,lari ingiz
kitoblariim,kitob,lari im
kitoblariing,kitob,lari ing
kitoblarii,kitob,lari i
kitoblarini,kitob,lari ni
kitoblariga,kitob,lari ga
kitoblarida,kitob,lari da
kitoblaridan,kitob,lari dan
kitoblarining,kitob,lari ning
kitoblariman,kitob,lari man
kitoblarisan,kitob,lari san
kitoblarisiz,kitob,lari siz
kitoblaridi,kitob,lari di
kitoblaridim,kitob,lari dim
kitoblariding,kitob,lari ding
kitoblaridik,kitob,lari dik
kitoblarigan,kitob,lari gan
kitoblarigach,kitob,lari gach
